,Amapá,Calçoene,Cutias,Ferreira Gomes,Itaubal,Laranjal do Jari,Macapá,Mazagão,Oiapoque,Pedra Branca do Amapari,Porto Grande,Pracuúba,Santana,Serra do Navio,Tartarugalzinho,Vitória do Jari
Amapá,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
Calçoene,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
Cutias,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Ferreira Gomes,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0
Itaubal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Laranjal do Jari,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Macapá,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
Mazagão,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
Oiapoque,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Pedra Branca do Amapari,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
Porto Grande,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
Pracuúba,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Santana,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Serra do Navio,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Tartarugalzinho,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Vitória do Jari,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
